condition_7,n,governor_support_mean,affpol_index_mean,affpol_latent_mean,baseline_affpol_abs_mean,baseline_affpol_signed_mean,baseline_demnorms_mean,party_id_mean,inparty_feeling_mean,outparty_feeling_mean,attention_pass_rate,frame_pass_rate
Control,21,3.857142857142857,4.07936507936508,0.044210069013380655,31.0,18.333333333333332,4.571428571428571,0.5238095238095238,47.38095238095238,47.04761904761905,0.2857142857142857,
InParty-Policy,16,4.375,4.3125,0.09026155981537223,33.125,-17.5,4.0,0.3125,53.8125,51.5625,0.3125,0.125
InParty-Electoral,11,3.8181818181818183,3.9393939393939394,-0.014387174081074231,31.272727272727273,7.636363636363637,2.3636363636363638,-0.5454545454545454,45.36363636363637,40.09090909090909,0.18181818181818182,0.2727272727272727
InParty-Democracy,12,4.333333333333333,3.6666666666666665,0.11819824948176157,34.166666666666664,-3.0,3.9166666666666665,-0.25,46.5,36.0,0.08333333333333333,0.4166666666666667
OutParty-Policy,15,3.3333333333333335,4.355555555555555,-0.08618223486907213,57.06666666666667,-30.933333333333334,4.066666666666666,0.06666666666666667,62.93333333333333,49.333333333333336,0.13333333333333333,0.26666666666666666
OutParty-Electoral,15,3.466666666666667,4.355555555555555,-0.2731933045707616,38.93333333333333,-33.6,3.6666666666666665,0.0,42.86666666666667,53.53333333333333,0.2,0.3333333333333333
OutParty-Democracy,7,4.285714285714286,3.9523809523809526,0.25113094376874734,34.0,28.0,4.857142857142857,-0.2857142857142857,47.42857142857143,49.42857142857143,0.0,0.2857142857142857
