Age,Education,Sex,Occupation Field,Relationship/Marital Status,Political Party,Ethnicity,Gender,Country Of Residence,Household Income,Race,Employment Status,Q-PartyAffiliation,Q-PartyAffiliation_4_TEXT,Q-PolarAffiliation,Q-MiddleAffiliation,Q-DemThreat,Q-FeelingTherm_1,Q-FeelingTherm_2,Q-AffPolarization,Event1_Prob_Pre_1,Event2_Prob_Pre_1,Event3_Prob_Pre_1,Event4_Prob_Pre_1,Attention Check_1,Prior_awareness,Prior_participation,redistrict_c_time _First Click,redistrict_c_time _Last Click,redistrict_c_time _Page Submit,redistrict_c_time _Click Count,redistrict_t_time_First Click,redistrict_t_time_Last Click,redistrict_t_time_Page Submit,redistrict_t_time_Click Count,rallies_c_time_First Click,rallies_c_time_Last Click,rallies_c_time_Page Submit,rallies_c_time_Click Count,rallies_t_time_First Click,rallies_t_time_Last Click,rallies_t_time_Page Submit,rallies_t_time_Click Count,investigate_t_time_First Click,investigate_t_time_Last Click,investigate_t_time_Page Submit,investigate_t_time_Click Count,media_c_time_First Click,media_c_time_Last Click,media_c_time_Page Submit,media_c_time_Click Count,media_t_time_First Click,media_t_time_Last Click,media_t_time_Page Submit,media_t_time_Click Count,courts_c_time_First Click,courts_c_time_Last Click,courts_c_time_Page Submit,courts_c_time_Click Count,courts_t_time_First Click,courts_t_time_Last Click,courts_t_time_Page Submit,courts_t_time_Click Count,Q-InLawDist,Q-CloseFriendDist,Q-Social Distance 3,Q-ReElection,Q-AttentionCheck,Q-Manipulation Check,Event1_Prob_Post_1...76,Event2_Prob_Post_1...77,Event3_Prob_Post_1...78,Event4_Prob_Post_1...79,Event1_Prob_Post_1...80,Event2_Prob_Post_1...81,Event3_Prob_Post_1...82,Event4_Prob_Post_1...83,Event1_Prob_Post_1...84,Event2_Prob_Post_1...85,Event3_Prob_Post_1...86,Event4_Prob_Post_1...87,assignmentId,projectId,Market_Price_m_kxcpi-26apr,Market_Price_m_kxpayrolls-26apr,Market_Price_m_controls-2026,Market_Price_m_kxiceero-26mar,order_first,Treat_Party,Treat_Frame,InParty,OutParty,InPartyNoun,OutPartyNoun,GovParty,GovPartyNoun,frame_topic,Treatment
63,"Some college, but no degree",Male,"Transportation, Distribution & Logistics",Married,Independent,"Yes, Mexican, Mexican Am., Chicano",Man,United States,"$125,000-$149,999",An ethnicity not listed here,Full-time,Independent,NA,NA,Closer to Republican Party,Restructuring the state’s highest court to favor the party in power,65,35,Very important,55,30,60,20,64,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.765,15.621,48.668,4,Neither comfortable nor uncomfortable,Comfortable,Somewhat comfortable,Very unlikely,Democrat,The governor took action in an effort to reshape democratic norms and institutions.,55,20,60,20,NA,NA,NA,NA,NA,NA,NA,NA,019dfa4d-e9ec-7515-9f41-3feec18dc6a5,019de1ab-afed-72b0-99bf-23a6aa89592d,0.545,0.475,0.565,0.895,Mehlhaff,OutParty,Electoral,Republican,Democratic,Republican,Democrat,Democratic,Democrat,courts,0
62,"Master's degree (for example: MA, MS, MEng, MEd, MSW, MBA)",Male,Retail,Divorced,Something else,"No, not of Hispanic, Latino, or Spanish origin",Man,United States,"$10,000-$19,999",White,Part-time,Other party (please specify),no party affiliation,NA,Neither,Restructuring the state’s highest court to favor the party in power,50,50,Very important,55,30,40,70,64,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.137,78.137,105.089,1,Comfortable,Comfortable,Comfortable,Unlikely,Republican,The governor took action to gain an electoral advantage or to respond to similar actions taken by the other party in the past.,NA,NA,NA,NA,NA,NA,NA,NA,55,45,55,90,019dfa4d-ed55-7530-8e52-920fa5f5cc5d,019de1ab-afed-72b0-99bf-23a6aa89592d,0.545,0.475,0.565,0.895,Mehlhaff,InParty,Electoral,Republican,Democratic,Republican,Democrat,Republican,Republican,courts,2
57,"Master's degree (for example: MA, MS, MEng, MEd, MSW, MBA)",Female,Arts,Single,Independent,"No, not of Hispanic, Latino, or Spanish origin",Woman,United States,Prefer not to say,Black or African American,Part-time,Independent,NA,NA,Closer to Republican Party,Restructuring the state’s highest court to favor the party in power,90,10,Important,50,90,70,85,64,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,71.5,0,Neither comfortable nor uncomfortable,Neither comfortable nor uncomfortable,Neither comfortable nor uncomfortable,Very unlikely,Democrat,The governor took action to gain an electoral advantage or to respond to similar actions taken by the other party in the past.,NA,NA,NA,NA,76,56,70,90,NA,NA,NA,NA,019dfa4e-0a79-730a-97c8-3f0af3c6176f,019de1ab-afed-72b0-99bf-23a6aa89592d,0.545,0.475,0.565,0.895,Mehlhaff,OutParty,Policy,Republican,Democratic,Republican,Democrat,Democratic,Democrat,courts,1
66,"Bachelor's degree (for example: BA, AB, BS)",Female,Other,Divorced,Democrat,"No, not of Hispanic, Latino, or Spanish origin",Woman,United States,"$70,000-$79,999",White,Business Owner,Democrat,NA,Strong,NA,Manipulating geographic boundaries of election districts,10,90,Very important,50,100,30,50,64,Yes,No,NA,NA,NA,NA,0,0,17.647,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Uncomfortable,Somewhat uncomfortable,Neither comfortable nor uncomfortable,Neither likely nor unlikely,Democrat,The governor took action to gain an electoral advantage or to respond to similar actions taken by the other party in the past.,NA,NA,NA,NA,NA,NA,NA,NA,54,25,30,75,019dfa4e-4770-797b-a9c8-593865c4176c,019de1ab-afed-72b0-99bf-23a6aa89592d,0.545,0.475,0.565,0.895,OW,InParty,Democracy,Democratic,Republican,Democrat,Republican,Democratic,Democrat,redistrict,3
71,"Some college, but no degree",Male,Retired,Single,Democrat,"No, not of Hispanic, Latino, or Spanish origin",Man,United States,"$40,000-$49,999",White,Retired,Democrat,NA,Strong,NA,Directing law enforcement to investigate politicians of the opposing party,20,75,Very important,30,20,50,65,64,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.514,38.114,60.027,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat comfortable,Somewhat comfortable,Very comfortable,Unlikely,Democrat,The governor took action to gain an electoral advantage or to respond to similar actions taken by the other party in the past.,30,20,50,68,NA,NA,NA,NA,NA,NA,NA,NA,019dfa4e-479a-7085-a89d-bfc6e415149a,019de1ab-afed-72b0-99bf-23a6aa89592d,0.545,0.475,0.565,0.895,OW,InParty,Democracy,Democratic,Republican,Democrat,Republican,Democratic,Democrat,investigate,0
38,"Bachelor's degree (for example: BA, AB, BS)",Female,Education & Training,Married,Republican,"Yes, Mexican, Mexican Am., Chicano",Woman,United States,"$60,000-$69,999",American Indian or Alaska Native,Full-time,Republican,NA,Strong,NA,Manipulating geographic boundaries of election districts,86,18,Important,40,29,52,49,64,No,No,NA,NA,NA,NA,1.461,50.109,59.888,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat uncomfortable,Neither comfortable nor uncomfortable,Somewhat uncomfortable,Somewhat likely,Republican,The governor took action to gain an electoral advantage or to respond to similar actions taken by the other party in the past.,NA,NA,NA,NA,46,35,52,66,NA,NA,NA,NA,019dfa4e-78d4-7a64-b888-2358972d73b6,019de1ab-afed-72b0-99bf-23a6aa89592d,0.545,0.475,0.565,0.895,OW,InParty,Electoral,Republican,Democratic,Republican,Democrat,Republican,Republican,redistrict,1
74,"Bachelor's degree (for example: BA, AB, BS)",Female,Education & Training,Divorced,Democrat,"No, not of Hispanic, Latino, or Spanish origin",Woman,United States,"$40,000-$49,999",White,Part-time,Democrat,NA,Strong,NA,Restructuring the state’s highest court to favor the party in power,2,100,Very important,10,49,49,59,64,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,12.7,0,Very uncomfortable,Very uncomfortable,Comfortable,Very unlikely,Democrat,The governor took action to gain an electoral advantage or to respond to similar actions taken by the other party in the past.,NA,NA,NA,NA,NA,NA,NA,NA,21,55,43,71,019dfa4e-79b2-711d-9ac3-21f81f12b059,019de1ab-afed-72b0-99bf-23a6aa89592d,0.545,0.475,0.565,0.895,Mehlhaff,InParty,Electoral,Democratic,Republican,Democrat,Republican,Democratic,Democrat,courts,2
41,"Some college, but no degree",Female,Education & Training,Married,Democrat,"Yes, Mexican, Mexican Am., Chicano",Woman,United States,"$100,000-$124,999",White,Full-time,Democrat,NA,Strong,NA,Manipulating geographic boundaries of election districts,9,91,Very important,60,72,76,20,64,No,No,0,0,12.936,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Uncomfortable,Somewhat uncomfortable,Somewhat uncomfortable,Neither likely nor unlikely,Not specified,The governor took action to gain an electoral advantage or to respond to similar actions taken by the other party in the past.,NA,NA,NA,NA,NA,NA,NA,NA,58,50,58,40,019dfa4e-7e35-7a5c-8e04-449cb4967acf,019de1ab-afed-72b0-99bf-23a6aa89592d,0.545,0.475,0.565,0.895,Mehlhaff,Control,Control,Democratic,Republican,Democrat,Republican,NA,NA,redistrict,2
24,"Associate degree (for example: AA, AS)",Female,Education & Training,Single,Democrat,"No, not of Hispanic, Latino, or Spanish origin",Woman,United States,"$70,000-$79,999",Black or African American,Part-time,Democrat,NA,Strong,NA,Restructuring the state’s highest court to favor the party in power,10,85,Somewhat important,50,0,40,70,64,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,46.531,0,Somewhat comfortable,Somewhat comfortable,Somewhat comfortable,Somewhat likely,Democrat,The governor took action to gain an electoral advantage or to respond to similar actions taken by the other party in the past.,NA,NA,NA,NA,50,20,40,80,NA,NA,NA,NA,019dfa4e-8d9b-7b39-83f1-9e16112ba946,019de1ab-afed-72b0-99bf-23a6aa89592d,0.545,0.475,0.565,0.895,OW,InParty,Democracy,Democratic,Republican,Democrat,Republican,Democratic,Democrat,courts,1
64,"Master's degree (for example: MA, MS, MEng, MEd, MSW, MBA)",Male,Education & Training,Married,Republican,"No, not of Hispanic, Latino, or Spanish origin",Man,United States,"$90,000-$99,999",White,Full-time,Republican,NA,Strong,NA,Manipulating geographic boundaries of election districts,60,9,Very important,50,60,54,50,64,Yes,No,NA,NA,NA,NA,0,0,26.269,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Uncomfortable,Neither comfortable nor uncomfortable,Somewhat comfortable,Very unlikely,Democrat,The governor took action to gain an electoral advantage or to respond to similar actions taken by the other party in the past.,NA,NA,NA,NA,NA,NA,NA,NA,51,55,52,45,019dfa4e-992e-71de-8ae6-ec855763ea64,019de1ab-afed-72b0-99bf-23a6aa89592d,0.545,0.475,0.565,0.895,OW,OutParty,Electoral,Republican,Democratic,Republican,Democrat,Democratic,Democrat,redistrict,3
