Age,Education,Sex,Occupation Field,Relationship/Marital Status,Political Party,Ethnicity,Gender,Country Of Residence,Household Income,Race,Employment Status,Q-PartyAffiliation,Q-PartyAffiliation_4_TEXT,Q-PolarAffiliation,Q-MiddleAffiliation,Q-DemThreat,Q-FeelingTherm_1,Q-FeelingTherm_2,Q-AffPolarization,Event1_Prob_Pre_1,Event2_Prob_Pre_1,Event3_Prob_Pre_1,Event4_Prob_Pre_1,Attention Check_1,Prior_awareness,Prior_participation,redistrict_c_time _First Click,redistrict_c_time _Last Click,redistrict_c_time _Page Submit,redistrict_c_time _Click Count,redistrict_t_time_First Click,redistrict_t_time_Last Click,redistrict_t_time_Page Submit,redistrict_t_time_Click Count,rallies_c_time_First Click,rallies_c_time_Last Click,rallies_c_time_Page Submit,rallies_c_time_Click Count,rallies_t_time_First Click,rallies_t_time_Last Click,rallies_t_time_Page Submit,rallies_t_time_Click Count,investigate_t_time_First Click,investigate_t_time_Last Click,investigate_t_time_Page Submit,investigate_t_time_Click Count,media_c_time_First Click,media_c_time_Last Click,media_c_time_Page Submit,media_c_time_Click Count,media_t_time_First Click,media_t_time_Last Click,media_t_time_Page Submit,media_t_time_Click Count,courts_c_time_First Click,courts_c_time_Last Click,courts_c_time_Page Submit,courts_c_time_Click Count,courts_t_time_First Click,courts_t_time_Last Click,courts_t_time_Page Submit,courts_t_time_Click Count,Q-InLawDist,Q-CloseFriendDist,Q-Social Distance 3,Q-ReElection,Q-AttentionCheck,Q-Manipulation Check,Event1_Prob_Post_1...76,Event2_Prob_Post_1...77,Event3_Prob_Post_1...78,Event4_Prob_Post_1...79,Event1_Prob_Post_1...80,Event2_Prob_Post_1...81,Event3_Prob_Post_1...82,Event4_Prob_Post_1...83,Event1_Prob_Post_1...84,Event2_Prob_Post_1...85,Event3_Prob_Post_1...86,Event4_Prob_Post_1...87,assignmentId,projectId,Market_Price_m_kxcpi-26apr,Market_Price_m_kxpayrolls-26apr,Market_Price_m_controls-2026,Market_Price_m_kxiceero-26mar,order_first,Treat_Party,Treat_Frame,InParty,OutParty,InPartyNoun,OutPartyNoun,GovParty,GovPartyNoun,frame_topic,Treatment
41,"Some college, but no degree",Female,Retail,Single,Democrat,"No, not of Hispanic, Latino, or Spanish origin",Woman,United States,"$30,000-$39,999",An ethnicity not listed here,Full-time,Democrat,NA,Not very strong,NA,Manipulating geographic boundaries of election districts,0,80,Important,76,14,20,14,64,Yes,No,NA,NA,NA,NA,15.416,30.303,37.5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neither comfortable nor uncomfortable,Neither comfortable nor uncomfortable,Neither comfortable nor uncomfortable,Very unlikely,Republican,The governor took action to gain an electoral advantage or to respond to similar actions taken by the other party in the past.,NA,NA,NA,NA,NA,NA,NA,NA,16,11,0,28,019dfb3e-7aaf-74f0-81bb-d1cdbc837d79,019de1ab-afed-72b0-99bf-23a6aa89592d,0.525,0.475,0.555,0.885,OW,OutParty,Electoral,Democratic,Republican,Democrat,Republican,Republican,Republican,redistrict,3
33,"Master's degree (for example: MA, MS, MEng, MEd, MSW, MBA)",Male,Hospitality & Tourism,In a relationship,Independent,"Yes, Cuban",Man,United States,"$100,000-$124,999",White,Full-time,Democrat,NA,Not very strong,NA,Prosecuting journalists for unfair news coverage,10,63,Somewhat important,76,15,1,77,64,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,12.843,0,NA,NA,NA,NA,NA,NA,NA,NA,Uncomfortable,Somewhat uncomfortable,Somewhat uncomfortable,Unlikely,Not specified,The governor took action in an effort to reshape democratic norms and institutions.,NA,NA,NA,NA,NA,NA,NA,NA,56,36,19,85,019dfb3e-8857-7696-b79e-bc8a8bd0aac7,019de1ab-afed-72b0-99bf-23a6aa89592d,0.525,0.475,0.555,0.885,OW,OutParty,Electoral,Democratic,Republican,Democrat,Republican,Republican,Republican,media,2
42,"Some college, but no degree",Female,Medicine,Married,Something else,"No, not of Hispanic, Latino, or Spanish origin",Woman,United States,"$90,000-$99,999",Filipino,Student,Other party (please specify),Peace & Freedom or Socialist Party,NA,Neither,Restructuring the state’s highest court to favor the party in power,0,30,Somewhat important,50,4,50,80,64,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.577,2.577,9.783,1,Very uncomfortable,Very uncomfortable,Very uncomfortable,Very likely,Democrat,The governor took action to gain an electoral advantage or to respond to similar actions taken by the other party in the past.,NA,NA,NA,NA,NA,NA,NA,NA,55,0,60,80,019dfb3e-ee7b-73b4-afb1-09c5164cda13,019de1ab-afed-72b0-99bf-23a6aa89592d,0.525,0.475,0.555,0.885,OW,InParty,Electoral,Democratic,Republican,Democrat,Republican,Democratic,Democrat,courts,3
36,"Professional degree (for example: MD, DDS, DVM, LLB, JD)",Female,Information Technology,Single,Republican,"No, not of Hispanic, Latino, or Spanish origin",Woman,United States,"$90,000-$99,999",Black or African American,Full-time,Republican,NA,Strong,NA,Directing law enforcement to investigate politicians of the opposing party,100,31,Important,66,22,73,78,100,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.669,35.742,36.521,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Comfortable,Comfortable,Comfortable,Somewhat likely,Republican,The governor took action to gain an electoral advantage or to respond to similar actions taken by the other party in the past.,NA,NA,NA,NA,52,26,64,85,NA,NA,NA,NA,019dfb3f-62ea-75f8-bcea-7fcf918d6dcd,019de1ab-afed-72b0-99bf-23a6aa89592d,0.525,0.475,0.555,0.885,OW,InParty,Democracy,Republican,Democratic,Republican,Democrat,Republican,Republican,investigate,1
30,"Bachelor's degree (for example: BA, AB, BS)",Female,Other,Married,Democrat,"No, not of Hispanic, Latino, or Spanish origin",Woman,United States,"$70,000-$79,999",Chinese,Full-time,Democrat,NA,Not very strong,NA,Restructuring the state’s highest court to favor the party in power,62,73,Important,81,17,47,56,64,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.78,1.78,11.74,1,Neither comfortable nor uncomfortable,Neither comfortable nor uncomfortable,Neither comfortable nor uncomfortable,Somewhat likely,Democrat,The governor took action in an effort to reshape democratic norms and institutions.,NA,NA,NA,NA,NA,NA,NA,NA,62,27,50,78,019dfb3f-f07f-7164-b223-0893697d72a0,019de1ab-afed-72b0-99bf-23a6aa89592d,0.525,0.475,0.555,0.885,OW,InParty,Electoral,Democratic,Republican,Democrat,Republican,Democratic,Democrat,courts,2
24,"Bachelor's degree (for example: BA, AB, BS)",Female,Medicine,Single,Democrat,"No, not of Hispanic, Latino, or Spanish origin",Woman,United States,"$80,000-$89,999",Black or African American,Full-time,Democrat,NA,Strong,NA,Directing law enforcement to investigate politicians of the opposing party,80,86,Important,65,75,87,59,64,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.121,16.142,16.959,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Comfortable,Comfortable,Somewhat comfortable,Somewhat likely,Democrat,The governor took action to gain an electoral advantage or to respond to similar actions taken by the other party in the past.,NA,NA,NA,NA,69,63,75,80,NA,NA,NA,NA,019dfb41-1e65-7fc6-934e-aa0ac10d9889,019de1ab-afed-72b0-99bf-23a6aa89592d,0.525,0.475,0.555,0.885,Mehlhaff,InParty,Electoral,Democratic,Republican,Democrat,Republican,Democratic,Democrat,investigate,1
83,"Some college, but no degree",Male,Retired,Widowed,Republican,"No, not of Hispanic, Latino, or Spanish origin",Man,United States,"$90,000-$99,999",White,Retired,Republican,NA,Not very strong,NA,Restructuring the state’s highest court to favor the party in power,75,54,Very important,77,86,45,76,64,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,36.115,0,Neither comfortable nor uncomfortable,Comfortable,Somewhat comfortable,Very unlikely,Democrat,The governor took action in an effort to reshape democratic norms and institutions.,NA,NA,NA,NA,NA,NA,NA,NA,60,54,46,91,019dfb42-6ca3-75ab-906d-7727acf17206,019de1ab-afed-72b0-99bf-23a6aa89592d,0.525,0.475,0.555,0.885,OW,OutParty,Electoral,Republican,Democratic,Republican,Democrat,Democratic,Democrat,courts,2
34,"Bachelor's degree (for example: BA, AB, BS)",Male,Business Management & Administration,Married,Republican,"No, not of Hispanic, Latino, or Spanish origin",Man,United States,"$40,000-$49,999",Black or African American,Full-time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,"Bachelor's degree (for example: BA, AB, BS)",Female,"Science, Technology, Engineering & Mathematics",Married,Republican,"No, not of Hispanic, Latino, or Spanish origin",Woman,United States,Prefer not to say,An ethnicity not listed here,Full-time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,"Bachelor's degree (for example: BA, AB, BS)",Female,Other,Separated,Independent,"No, not of Hispanic, Latino, or Spanish origin",Woman,United States,"Less than $10,000",Black or African American,Part-time,Independent,NA,NA,Closer to Democratic Party,Manipulating geographic boundaries of election districts,2,85,Important,66,22,14,26,64,No,No,NA,NA,NA,NA,22.987,201.608,210.681,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Uncomfortable,Uncomfortable,Neither comfortable nor uncomfortable,Unlikely,Republican,The governor took action in an effort to reshape democratic norms and institutions.,NA,NA,NA,NA,NA,NA,NA,NA,70,24,25,44,019dfb45-5ca0-7ab7-9c91-fccbfeffd125,019de1ab-afed-72b0-99bf-23a6aa89592d,0.525,0.475,0.555,0.885,Mehlhaff,OutParty,Democracy,Democratic,Republican,Democrat,Republican,Republican,Republican,redistrict,3
29,"Bachelor's degree (for example: BA, AB, BS)",Male,Marketing and Sales,Single,Republican,"No, not of Hispanic, Latino, or Spanish origin",Man,United States,"$90,000-$99,999",Black or African American,Full-time,Republican,NA,Strong,NA,Directing law enforcement to investigate politicians of the opposing party,80,65,Important,82,90,88,66,64,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2.705,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Comfortable,Somewhat comfortable,Somewhat comfortable,Likely,Democrat,The governor took action to gain an electoral advantage or to respond to similar actions taken by the other party in the past.,68,85,97,64,NA,NA,NA,NA,NA,NA,NA,NA,019dfb46-64fe-7dd1-9c2e-88abb5c7b5ab,019de1ab-afed-72b0-99bf-23a6aa89592d,0.525,0.475,0.555,0.885,Mehlhaff,OutParty,Democracy,Republican,Democratic,Republican,Democrat,Democratic,Democrat,investigate,0
68,"Bachelor's degree (for example: BA, AB, BS)",Female,Other,In a relationship,Democrat,"Yes, Puerto Rican",Woman,United States,"$20,000-$29,999",White,Part-time,Democrat,NA,Strong,NA,Manipulating geographic boundaries of election districts,12,100,Very important,80,20,45,75,64,Yes,No,NA,NA,NA,NA,4.164,9.419,103.375,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very uncomfortable,Uncomfortable,Neither comfortable nor uncomfortable,Very unlikely,Republican,The governor took action to gain an electoral advantage or to respond to similar actions taken by the other party in the past.,NA,NA,NA,NA,NA,NA,NA,NA,75,25,48,80,019dfb46-ee35-7d53-9ce2-afe03dea4543,019de1ab-afed-72b0-99bf-23a6aa89592d,0.525,0.475,0.555,0.885,OW,OutParty,Policy,Democratic,Republican,Democrat,Republican,Republican,Republican,redistrict,3
25,High school graduate - high school diploma or the equivalent (for example: GED),Male,Architecture and Construction,Single,Independent,"Yes, Mexican, Mexican Am., Chicano",Man,United States,"$50,000-$59,999",An ethnicity not listed here,Full-time,Independent,NA,NA,Neither,Prosecuting journalists for unfair news coverage,51,52,Not at all important,0,61,61,51,64,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.125,16.549,28.92,4,NA,NA,NA,NA,NA,NA,NA,NA,Very comfortable,Very Comfortable,Very comfortable,Neither likely nor unlikely,Republican,The governor took action to gain an electoral advantage or to respond to similar actions taken by the other party in the past.,0,61,61,51,NA,NA,NA,NA,NA,NA,NA,NA,019dfb47-57d7-713f-af61-650fe4e9fb52,019de1ab-afed-72b0-99bf-23a6aa89592d,0.525,0.475,0.555,0.885,OW,InParty,Democracy,Republican,Democratic,Republican,Democrat,Republican,Republican,media,0
74,"Some college, but no degree",Female,Retired,Married,Republican,"No, not of Hispanic, Latino, or Spanish origin",Woman,United States,"$100,000-$124,999",White,Retired,Republican,NA,Strong,NA,Restructuring the state’s highest court to favor the party in power,85,22,Important,73,62,82,92,64,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,23.572,0,Somewhat comfortable,Somewhat comfortable,Comfortable,Very unlikely,Not specified,The governor took action to gain an electoral advantage or to respond to similar actions taken by the other party in the past.,NA,NA,NA,NA,NA,NA,NA,NA,59,42,55,91,019dfb48-c94c-7d2d-a174-0a2e6be16235,019de1ab-afed-72b0-99bf-23a6aa89592d,0.525,0.475,0.555,0.885,OW,OutParty,Electoral,Republican,Democratic,Republican,Democrat,Democratic,Democrat,courts,2
26,"Bachelor's degree (for example: BA, AB, BS)",Female,Government & Public Administration,Single,Something else,"No, not of Hispanic, Latino, or Spanish origin",Woman,United States,"$125,000-$149,999",Black or African American,Part-time,Other party (please specify),Leftist,NA,Neither,Banning political rallies,9,40,Important,70,36,35,40,64,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.17,78.466,79.291,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Uncomfortable,Very uncomfortable,Somewhat uncomfortable,Very unlikely,Democrat,The governor took action to gain an electoral advantage or to respond to similar actions taken by the other party in the past.,NA,NA,NA,NA,NA,NA,NA,NA,60,40,40,45,019dfb49-cffb-7f76-96e5-f1f0cbe7e06e,019de1ab-afed-72b0-99bf-23a6aa89592d,0.525,0.475,0.555,0.885,Mehlhaff,InParty,Electoral,Democratic,Republican,Democrat,Republican,Democratic,Democrat,rallies,3
22,"Some college, but no degree",Female,Marketing and Sales,In a relationship,Independent,"Yes, another Hispanic, Latino, or Spanish origin – (for example, Salvadoran, Dominican, Colombian, Guatemalan, Spaniard, Ecuadorian, etc.)",Woman,United States,"$50,000-$59,999",White,Part-time,Independent,NA,NA,Neither,Manipulating geographic boundaries of election districts,17,50,Important,30,0,100,100,64,Yes,No,NA,NA,NA,NA,0,0,9.552,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat uncomfortable,Neither comfortable nor uncomfortable,Somewhat uncomfortable,Very unlikely,Republican,The governor took action in an effort to reshape democratic norms and institutions.,NA,NA,NA,NA,43,21,80,100,NA,NA,NA,NA,019dfb4a-228a-754c-bbd5-cb300507ef3c,019de1ab-afed-72b0-99bf-23a6aa89592d,0.525,0.475,0.555,0.885,OW,OutParty,Electoral,Democratic,Republican,Democrat,Republican,Republican,Republican,redistrict,1
54,"Associate degree (for example: AA, AS)",Female,Medicine,Single,Democrat,"No, not of Hispanic, Latino, or Spanish origin",Woman,United States,"$20,000-$29,999",Black or African American,Part-time,Democrat,NA,Strong,NA,Restructuring the state’s highest court to favor the party in power,20,90,Important,80,6,90,84,64,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.074,38.259,71.403,2,Uncomfortable,Uncomfortable,Very uncomfortable,Somewhat likely,Republican,The governor took action in an effort to reshape democratic norms and institutions.,NA,NA,NA,NA,NA,NA,NA,NA,75,10,88,80,019dfb4a-dc32-7d15-a26a-5301debd0cad,019de1ab-afed-72b0-99bf-23a6aa89592d,0.525,0.475,0.555,0.885,Mehlhaff,InParty,Electoral,Democratic,Republican,Democrat,Republican,Democratic,Democrat,courts,3
19,High school graduate - high school diploma or the equivalent (for example: GED),Male,Other,Single,Independent,"Yes, Puerto Rican",Man,United States,"$100,000-$124,999",White,Student,Independent,NA,NA,Closer to Republican Party,Restructuring the state’s highest court to favor the party in power,22,25,Very important,21,39,51,65,64,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.169,24.169,24.502,1,Neither comfortable nor uncomfortable,Comfortable,Neither comfortable nor uncomfortable,Somewhat unlikely,Democrat,The governor took action to gain an electoral advantage or to respond to similar actions taken by the other party in the past.,NA,NA,NA,NA,NA,NA,NA,NA,71,80,100,100,019dfb4b-b262-7c9e-a072-6a5c178791c5,019de1ab-afed-72b0-99bf-23a6aa89592d,0.525,0.475,0.555,0.885,OW,OutParty,Democracy,Republican,Democratic,Republican,Democrat,Democratic,Democrat,courts,3
37,"Bachelor's degree (for example: BA, AB, BS)",Male,Information Technology,Married,Republican,"No, not of Hispanic, Latino, or Spanish origin",Man,United States,"$100,000-$124,999",Black or African American,Full-time,Republican,NA,Strong,NA,Banning political rallies,90,60,Important,60,30,70,60,64,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.271,108.729,141.711,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat comfortable,Comfortable,Somewhat comfortable,Somewhat likely,Republican,The governor took action to gain an electoral advantage or to respond to similar actions taken by the other party in the past.,60,30,70,60,NA,NA,NA,NA,NA,NA,NA,NA,019dfb4d-816b-76db-a77a-7b63470aaceb,019de1ab-afed-72b0-99bf-23a6aa89592d,0.525,0.475,0.555,0.885,OW,InParty,Democracy,Republican,Democratic,Republican,Democrat,Republican,Republican,rallies,0
19,High school graduate - high school diploma or the equivalent (for example: GED),Female,"Science, Technology, Engineering & Mathematics",Single,Independent,"No, not of Hispanic, Latino, or Spanish origin",Woman,United States,"$90,000-$99,999",Black or African American,Student,Independent,NA,NA,Closer to Republican Party,Manipulating geographic boundaries of election districts,51,10,Somewhat important,30,20,50,40,64,No,No,NA,NA,NA,NA,0,0,63.313,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat uncomfortable,Somewhat uncomfortable,Neither comfortable nor uncomfortable,Neither likely nor unlikely,Republican,The governor took action in an effort to reshape democratic norms and institutions.,NA,NA,NA,NA,NA,NA,NA,NA,30,20,55,50,019dfb4d-d309-7458-a068-de42e9d5106b,019de1ab-afed-72b0-99bf-23a6aa89592d,0.525,0.475,0.555,0.885,Mehlhaff,InParty,Democracy,Republican,Democratic,Republican,Democrat,Republican,Republican,redistrict,3
28,"Bachelor's degree (for example: BA, AB, BS)",Female,Other,NA,Democrat,"Yes, Mexican, Mexican Am., Chicano",Man,United States,"$50,000-$59,999",White,Full-time,Democrat,NA,Strong,NA,Prosecuting journalists for unfair news coverage,0,71,Very important,19,0,3,20,64,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3.803,0,NA,NA,NA,NA,NA,NA,NA,NA,Uncomfortable,Uncomfortable,Very uncomfortable,Unlikely,Republican,The governor took action in an effort to reshape democratic norms and institutions.,14,0,17,24,NA,NA,NA,NA,NA,NA,NA,NA,019dfb4e-609e-7fdc-92e1-0a6404f63db7,019de1ab-afed-72b0-99bf-23a6aa89592d,0.525,0.475,0.555,0.885,Mehlhaff,InParty,Electoral,Democratic,Republican,Democrat,Republican,Democratic,Democrat,media,0
22,"Some college, but no degree",Male,Social Sciences,In a relationship,Republican,"Yes, Mexican, Mexican Am., Chicano",Man,United States,"$125,000-$149,999",An ethnicity not listed here,Student,Republican,NA,Not very strong,NA,Manipulating geographic boundaries of election districts,50,50,Very important,30,25,15,40,64,Yes,No,0,0,9.444,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very comfortable,Very Comfortable,Very comfortable,Likely,Not specified,The governor took action in an effort to reshape democratic norms and institutions.,NA,NA,NA,NA,NA,NA,NA,NA,40,35,25,95,019dfb4f-ac5d-7e22-b852-138b466c7f34,019de1ab-afed-72b0-99bf-23a6aa89592d,0.525,0.475,0.555,0.885,OW,Control,Control,Republican,Democratic,Republican,Democrat,NA,NA,redistrict,2
35,"Bachelor's degree (for example: BA, AB, BS)",Male,Military,Married,Republican,"Yes, Mexican, Mexican Am., Chicano",Man,United States,"$50,000-$59,999",White,Full-time,Republican,NA,Not very strong,NA,Manipulating geographic boundaries of election districts,81,7,Important,59,49,33,50,73,Yes,No,NA,NA,NA,NA,9.493,48.157,49.799,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Uncomfortable,Uncomfortable,Uncomfortable,Neither likely nor unlikely,Republican,The governor took action to pursue a specific policy outcome.,61,65,37,55,NA,NA,NA,NA,NA,NA,NA,NA,019dfb50-0475-790a-b3e7-4ae302ab825d,019de1ab-afed-72b0-99bf-23a6aa89592d,0.525,0.475,0.555,0.885,Mehlhaff,InParty,Policy,Republican,Democratic,Republican,Democrat,Republican,Republican,redistrict,0
27,"Bachelor's degree (for example: BA, AB, BS)",Female,Business Management & Administration,Single,Democrat,"Yes, Mexican, Mexican Am., Chicano",Woman,United States,"$50,000-$59,999",White,Business Owner,Democrat,NA,Not very strong,NA,Prosecuting journalists for unfair news coverage,60,85,Very important,50,80,75,20,64,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3.333,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Uncomfortable,Uncomfortable,Uncomfortable,Neither likely nor unlikely,Republican,The governor took action to gain an electoral advantage or to respond to similar actions taken by the other party in the past.,NA,NA,NA,NA,NA,NA,NA,NA,54,51,62,89,019dfb50-2274-7750-ad7e-c9062e1a3fa8,019de1ab-afed-72b0-99bf-23a6aa89592d,0.525,0.475,0.555,0.885,OW,Control,Control,Democratic,Republican,Democrat,Republican,NA,NA,media,2
59,"Some college, but no degree",Female,Medicine,Divorced,Prefer not to say,"Yes, another Hispanic, Latino, or Spanish origin – (for example, Salvadoran, Dominican, Colombian, Guatemalan, Spaniard, Ecuadorian, etc.)",Woman,United States,Prefer not to say,White,Full-time,Independent,NA,NA,Neither,Banning political rallies,17,18,Neither important nor unimportant,10,15,1,23,64,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.849,0.849,2.659,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neither comfortable nor uncomfortable,Neither comfortable nor uncomfortable,Neither comfortable nor uncomfortable,Neither likely nor unlikely,Not specified,The governor took action to pursue a specific policy outcome.,NA,NA,NA,NA,NA,NA,NA,NA,39,50,6,56,019dfb51-52d1-770f-b09a-347423e74dc9,019de1ab-afed-72b0-99bf-23a6aa89592d,0.525,0.475,0.555,0.885,Mehlhaff,OutParty,Electoral,Republican,Democratic,Republican,Democrat,Democratic,Democrat,rallies,2
26,"Associate degree (for example: AA, AS)",Female,Arts,NA,Democrat,"Yes, Mexican, Mexican Am., Chicano",Woman,United States,"$40,000-$49,999",White,Part-time,Democrat,NA,Strong,NA,Banning political rallies,25,85,Very important,55,40,65,55,64,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.842,84.775,91.81,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Uncomfortable,Uncomfortable,Somewhat uncomfortable,Very unlikely,Republican,The governor took action in an effort to reshape democratic norms and institutions.,NA,NA,NA,NA,NA,NA,NA,NA,56,40,70,80,019dfb51-e066-76ee-9ed2-7bd7bdba9b9b,019de1ab-afed-72b0-99bf-23a6aa89592d,0.525,0.475,0.555,0.885,OW,OutParty,Policy,Democratic,Republican,Democrat,Republican,Republican,Republican,rallies,3
40,"Bachelor's degree (for example: BA, AB, BS)",Male,Military,Married,Independent,"No, not of Hispanic, Latino, or Spanish origin",Man,United States,"$175,000-$199,999",Japanese,Full-time,Democrat,NA,Not very strong,NA,Restructuring the state’s highest court to favor the party in power,6,83,Very important,80,0,69,74,64,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.184,39.848,40.686,14,Somewhat uncomfortable,Neither comfortable nor uncomfortable,Neither comfortable nor uncomfortable,Very likely,Not specified,The governor took action to gain an electoral advantage or to respond to similar actions taken by the other party in the past.,NA,NA,NA,NA,NA,NA,NA,NA,79,37,70,88,019dfb52-5165-7720-97b8-f9af68736fcd,019de1ab-afed-72b0-99bf-23a6aa89592d,0.525,0.475,0.555,0.885,OW,OutParty,Electoral,Democratic,Republican,Democrat,Republican,Republican,Republican,courts,3
